Caller,Callee
ogg_sync_clear,free
ogg_sync_destroy,free
ogg_sync_buffer,free
ogg_sync_buffer,realloc
ogg_sync_buffer,malloc
ogg_sync_pageseek,bcmp
ogg_sync_pageseek,ogg_page_checksum_set
ogg_sync_pageseek,memchr
ogg_sync_pageout,ogg_sync_pageseek
ogg_stream_pagein,_os_lacing_expand
ogg_stream_pagein,free
ogg_stream_pagein,realloc
ogg_stream_packetout,_packetout
ogg_packet_clear,free
oggpack_writeinit,malloc
oggpackB_writeinit,malloc
oggpack_write,realloc
oggpack_write,free
oggpack_writeclear,free
oggpackB_write,realloc
oggpackB_write,free
oggpack_writealign,oggpack_write
oggpackB_writealign,oggpackB_write
oggpack_writecopy,oggpack_writecopy_helper
oggpack_writecopy_helper,realloc
oggpack_writecopy_helper,free
oggpackB_writecopy,oggpack_writecopy_helper
oggpackB_writeclear,free
