Caller,Callee
set_servers_csv,ares__destroy_servers_state
set_servers_csv,ares__close_sockets
set_servers_csv,ares__init_list_head
set_servers_csv,ares__is_list_empty
set_servers_csv,ares_inet_pton
set_servers_csv,inet_pton
set_servers_csv,ares_library_initialized
set_servers_csv,ares__init_servers_state
ares_set_servers_ports_csv,__assert_fail
ares_set_servers_ports_csv,strlen
ares_set_servers_ports_csv,ares_set_servers_ports
ares_set_servers_ports_csv,htons
ares_set_servers_ports_csv,set_servers_csv
ares_set_servers_ports_csv,strcpy
ares_set_servers_ports_csv,__ctype_b_loc
ares_set_servers_ports_csv,strtol
ares_set_servers_ports_csv,ares__close_socket
ares_set_servers_ports_csv,close
ares_set_servers_ports_csv,ares__destroy_servers_state
ares_set_servers_ports_csv,ares__close_sockets
ares_set_servers_ports_csv,ares__init_list_head
ares_set_servers_ports_csv,ares__is_list_empty
ares_set_servers_ports_csv,ares_inet_pton
ares_set_servers_ports_csv,inet_pton
ares_set_servers_ports_csv,ares_library_initialized
ares_set_servers_ports_csv,ares__init_servers_state
ares_strdup,strlen
ares_strdup,strdup
ares_inet_ntop,inet_ntop
ares_expand_string,strncpy
ares_mkquery,strlen
ares_mkquery,ares_create_query
ares_mkquery,strcmp
ares_mkquery,ares_striendstr
ares_mkquery,tolower
ares_mkquery,ares__is_onion_domain
ares_parse_ns_reply,strlen
ares_parse_ns_reply,strcpy
ares_parse_ns_reply,ares_expand_name
ares_parse_ns_reply,name_length
ares_parse_ns_reply,ares__expand_name_for_response
ares_parse_ns_reply,aresx_uztosl
ares_parse_srv_reply,ares_expand_name
ares_parse_srv_reply,name_length
ares_parse_srv_reply,ares_free_data
ares_parse_srv_reply,ares_malloc_data
ares_parse_srv_reply,aresx_uztosl
ares_process,fcntl
ares_process,setsockopt
ares_process,bind
ares_process,memcmp
ares_process,setsocknonblock
ares_process,socket
ares_process,socket_recvfrom
ares_process,try_again
ares_process,same_address
ares_process,process_answer
ares_process,same_questions
ares_process,has_opt_rr
ares_process,__assert_fail
ares_process,ares_free_string
ares_process,htonl
ares_process,__errno_location
ares_process,ares__tvnow
ares_process,clock_gettime
ares_process,gettimeofday
ares_process,ares__timedout
ares_process,processfds
ares_process,write_tcp_data
ares_process,read_tcp_data
ares_process,read_udp_packets
ares_process,process_timeouts
ares_process,process_broken_connections
