Caller,Callee
host_callback.128,ares_parse_aaaa_reply
host_callback.128,ares_free_hostent
host_callback.128,ares_search
host_callback.128,sort6_addresses
host_callback.128,end_hquery.130
host_callback.128,next_lookup.127
file_lookup.129,ares__is_onion_domain
file_lookup.129,fopen
file_lookup.129,__errno_location
file_lookup.129,ares__get_hostent
file_lookup.129,strcasecmp
file_lookup.129,fclose
file_lookup.129,ares_free_hostent
end_hquery.130,ares_free_hostent
sort_addresses,get_address_index
sort6_addresses,get6_address_index
get6_address_index,ares__bitncmp
get_address_index,ares__bitncmp
ares_gethostbyname_file,file_lookup.129
ares_mkquery,ares_create_query
